Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200101,Water - Precipitation - unspecified (not reported),2001-01-15,2001-01-01,2001-01-31,,-7.17,Jozef Stefan Institute,-47.78,Jozef Stefan Institute,8.3,0.3,Ruder Boskovic Institute,180,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200102,Water - Precipitation - unspecified (not reported),2001-02-15,2001-02-01,2001-02-28,,-8.23,Jozef Stefan Institute,-54.5,Jozef Stefan Institute,7.9,0.3,Ruder Boskovic Institute,20.9,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200103,Water - Precipitation - unspecified (not reported),2001-03-15,2001-03-01,2001-03-31,,-5.84,Jozef Stefan Institute,-42.93,Jozef Stefan Institute,9,0.3,Ruder Boskovic Institute,175,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200104,Water - Precipitation - rain,2001-04-15,2001-04-01,2001-04-30,,-7.66,Jozef Stefan Institute,-51.11,Jozef Stefan Institute,12.2,0.3,Ruder Boskovic Institute,81.1,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200105,Water - Precipitation - rain,2001-05-15,2001-05-01,2001-05-31,,-4.89,Jozef Stefan Institute,-31.62,Jozef Stefan Institute,10,0.3,Ruder Boskovic Institute,51.4,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200106,Water - Precipitation - rain,2001-06-15,2001-06-01,2001-06-30,,-10.67,Jozef Stefan Institute,-77.99,Jozef Stefan Institute,12.7,0.3,Ruder Boskovic Institute,128.4,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200107,Water - Precipitation - rain,2001-07-15,2001-07-01,2001-07-31,,-5.41,Jozef Stefan Institute,-37.13,Jozef Stefan Institute,17.3,0.3,Ruder Boskovic Institute,41.9,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200108,Water - Precipitation - rain,2001-08-15,2001-08-01,2001-08-31,,-5.93,Jozef Stefan Institute,-36.8,Jozef Stefan Institute,,,,5.5,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200109,Water - Precipitation - rain,2001-09-15,2001-09-01,2001-09-30,,-8.22,Jozef Stefan Institute,-54.33,Jozef Stefan Institute,5.9,0.3,Ruder Boskovic Institute,361.5,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200110,Water - Precipitation - rain,2001-10-15,2001-10-01,2001-10-31,,-4.87,Jozef Stefan Institute,-28.79,Jozef Stefan Institute,3.8,0.3,Ruder Boskovic Institute,48.9,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200111,Water - Precipitation - unspecified (not reported),2001-11-15,2001-11-01,2001-11-30,,-7.31,Jozef Stefan Institute,-43.95,Jozef Stefan Institute,5.8,0.3,Ruder Boskovic Institute,59.2,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200112,Water - Precipitation - unspecified (not reported),2001-12-15,2001-12-01,2001-12-31,,-8.86,Jozef Stefan Institute,-47.37,Jozef Stefan Institute,2.4,0.3,Ruder Boskovic Institute,43.3,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200201,Water - Precipitation - unspecified (not reported),2002-01-15,2002-01-01,2002-01-31,,-8.08,Jozef Stefan Institute,-55.05,Jozef Stefan Institute,10,,Ruder Boskovic Institute,23.8,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200202,Water - Precipitation - unspecified (not reported),2002-02-15,2002-02-01,2002-02-28,,-6.72,Jozef Stefan Institute,-44.73,Jozef Stefan Institute,1.3,0.3,Ruder Boskovic Institute,112.3,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200203,Water - Precipitation - unspecified (not reported),2002-03-15,2002-03-01,2002-03-31,,-2.23,Jozef Stefan Institute,-8.8,Jozef Stefan Institute,1.6,0.3,Ruder Boskovic Institute,16.3,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200204,Water - Precipitation - rain,2002-04-15,2002-04-01,2002-04-30,,-9.22,Jozef Stefan Institute,-64.69,Jozef Stefan Institute,6.2,0.3,Ruder Boskovic Institute,154.6,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200205,Water - Precipitation - rain,2002-05-15,2002-05-01,2002-05-31,,-4.63,Jozef Stefan Institute,-26.8,Jozef Stefan Institute,4.7,0.3,Ruder Boskovic Institute,111.8,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200206,Water - Precipitation - rain,2002-06-15,2002-06-01,2002-06-30,,-6.01,Jozef Stefan Institute,-36.95,Jozef Stefan Institute,4.1,0.3,Ruder Boskovic Institute,139.3,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200207,Water - Precipitation - rain,2002-07-15,2002-07-01,2002-07-31,,-5.06,Jozef Stefan Institute,-29.63,Jozef Stefan Institute,8.1,0.3,Ruder Boskovic Institute,66.2,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200208,Water - Precipitation - rain,2002-08-15,2002-08-01,2002-08-31,,-6.97,Jozef Stefan Institute,-44.08,Jozef Stefan Institute,5,0.3,Ruder Boskovic Institute,334,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200209,Water - Precipitation - rain,2002-09-15,2002-09-01,2002-09-30,,-9.7,Jozef Stefan Institute,-64.38,Jozef Stefan Institute,4.3,0.3,Ruder Boskovic Institute,109,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200210,Water - Precipitation - rain,2002-10-15,2002-10-01,2002-10-31,,-8.04,Jozef Stefan Institute,-47.16,Jozef Stefan Institute,17,,Ruder Boskovic Institute,218,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200211,Water - Precipitation - unspecified (not reported),2002-11-15,2002-11-01,2002-11-30,,-7.33,Jozef Stefan Institute,-44.6,Jozef Stefan Institute,14,,Ruder Boskovic Institute,190,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200212,Water - Precipitation - unspecified (not reported),2002-12-15,2002-12-01,2002-12-31,,-11.36,Jozef Stefan Institute,-77.45,Jozef Stefan Institute,0.8,0.3,Ruder Boskovic Institute,65,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200301,Water - Precipitation - rain,2003-01-15,2003-01-01,2003-01-31,,-13.75,Jozef Stefan Institute,-102.12,Jozef Stefan Institute,1.9,0.3,Ruder Boskovic Institute,82.8,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200302,Water - Precipitation - rain,2003-02-15,2003-02-01,2003-02-28,,-11.34,Jozef Stefan Institute,-80.04,Jozef Stefan Institute,,,,54,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200303,Water - Precipitation - rain,2003-03-15,2003-03-01,2003-03-31,,-5.18,Jozef Stefan Institute,-22.99,Jozef Stefan Institute,,,,8.2,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200304,Water - Precipitation - rain,2003-04-15,2003-04-01,2003-04-30,,-9.71,Jozef Stefan Institute,-66.17,Jozef Stefan Institute,4.6,0.3,Ruder Boskovic Institute,104.5,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200305,Water - Precipitation - rain,2003-05-15,2003-05-01,2003-05-31,,-5.82,Jozef Stefan Institute,-34.23,Jozef Stefan Institute,4.8,0.3,Ruder Boskovic Institute,17.1,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200306,Water - Precipitation - rain,2003-06-15,2003-06-01,2003-06-30,,-5.04,Jozef Stefan Institute,-30.72,Jozef Stefan Institute,13.22,0.3,Ruder Boskovic Institute,64.8,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200307,Water - Precipitation - rain,2003-07-15,2003-07-01,2003-07-31,,-3.8,Jozef Stefan Institute,-25.08,Jozef Stefan Institute,,,,6.6,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200308,Water - Precipitation - rain,2003-08-15,2003-08-01,2003-08-31,,-3.56,Jozef Stefan Institute,-24.86,Jozef Stefan Institute,11.72,0.3,Ruder Boskovic Institute,28.6,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200309,Water - Precipitation - rain,2003-09-15,2003-09-01,2003-09-30,,-7.8,Jozef Stefan Institute,-45.32,Jozef Stefan Institute,6.29,0.3,Ruder Boskovic Institute,91.6,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200310,Water - Precipitation - rain,2003-10-15,2003-10-01,2003-10-31,,-9.67,Jozef Stefan Institute,-59.26,Jozef Stefan Institute,4.59,0.3,Ruder Boskovic Institute,125.1,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200311,Water - Precipitation - rain,2003-11-15,2003-11-01,2003-11-30,,-7.2,Jozef Stefan Institute,-40.26,Jozef Stefan Institute,3.62,0.3,Ruder Boskovic Institute,200.3,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200312,Water - Precipitation - rain,2003-12-15,2003-12-01,2003-12-31,,-7.35,Jozef Stefan Institute,-38.99,Jozef Stefan Institute,3.22,0.3,Ruder Boskovic Institute,114.6,,
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198401,"Water - Precipitation - rain & snow (""mixed"")",1984-01-15,1984-01-01,1984-01-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-13.11,Jozef Stefan Institute,-96,Jozef Stefan Institute,21.7,1.884722222,Ruder Boskovic Institute,166,-0.5,5.4
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198402,"Water - Precipitation - rain & snow (""mixed"")",1984-02-15,1984-02-01,1984-02-29,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-14.12,Jozef Stefan Institute,-104,Jozef Stefan Institute,30.9,1.950277778,Ruder Boskovic Institute,113,0.3,4.9
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198403,"Water - Precipitation - rain & snow (""mixed"")",1984-03-15,1984-03-01,1984-03-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-11.83,Jozef Stefan Institute,-85,Jozef Stefan Institute,18.7,1.802777778,Ruder Boskovic Institute,64,4.3,5.3
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198404,Water - Precipitation - rain,1984-04-15,1984-04-01,1984-04-30,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-10.67,Jozef Stefan Institute,-74,Jozef Stefan Institute,30.3,1.942083333,Ruder Boskovic Institute,61,9.2,7.2
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198405,Water - Precipitation - rain,1984-05-15,1984-05-01,1984-05-31,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-7.27,Jozef Stefan Institute,-52,Jozef Stefan Institute,30.7,1.958472222,Ruder Boskovic Institute,137,12.8,10.7
GNIP,GNIP/M/SI/01,LJUBLJANA,SI,1401500,46.095,14.597,282,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Info: 1984-1992 @ ARSO, 1992-2000/08 @ JSI, 2000/09-present @ JSI Research Reactor Centre.], [Reference: Vreca et al. 2006, Vreca et al. 2014]",198406,Water - Precipitation - rain,1984-06-15,1984-06-01,1984-06-30,Meteorological data obtained from the Slovenian Environment Agency (ARSO - http://meteo.arso.gov.si/met/en/),-9.94,Jozef Stefan Institute,-68,Jozef Stefan Institute,29.4,1.876527778,Ruder Boskovic Institute,148,17.3,13
