,Serial Number:20440475 --,,,,,,
20440475,10/08/18 15:56,0.51,99.77,0.48, , , 
20440475,10/08/18 16:56,0.51,99.77,0.48, , , 
20440475,10/08/18 17:56,0.51,99.82,0.48, , , 
20440475,10/08/18 18:56,0.47,99.8,0.44, , , 
20440475,10/08/18 19:56,0.47,99.74,0.43, , , 
20440475,10/08/18 20:56,0.43,99.8,0.39, , , 
20440475,10/08/18 21:56,0.47,99.74,0.43, , , 
20440475,10/08/18 22:56,0.47,99.74,0.43, , , 
20440475,10/08/18 23:56,0.43,99.8,0.39, , , 
20440475,11/08/18 00:56,0.43,99.98,0.42, , , 
20440475,11/08/18 01:56,0.34,99.98,0.33, , , 
20440475,11/08/18 02:56,0.43,99.98,0.42, , , 
20440475,11/08/18 03:56,0.38,99.98,0.38, , , 
20440475,11/08/18 04:56,0.43,99.98,0.42, , , 
20440475,11/08/18 05:56,0.43,99.98,0.42, , , 
20440475,11/08/18 06:56,0.38,99.98,0.38, , , 
20440475,11/08/18 07:56,0.43,99.98,0.42, , , 
20440475,11/08/18 08:56,0.3,99.98,0.29, , , 
20440475,11/08/18 09:56,0.25,99.98,0.25, , , 
20440475,11/08/18 10:56,0.38,99.98,0.38, , , 
20440475,11/08/18 11:56,0.43,99.98,0.42, , , 
20440475,11/08/18 12:56,0.43,99.98,0.42, , , 
20440475,11/08/18 13:56,0.43,99.98,0.42, , , 
20440475,11/08/18 14:56,0.47,99.98,0.46, , , 
20440475,11/08/18 15:56,0.47,99.98,0.46, , , 
20440475,11/08/18 16:56,0.38,99.98,0.38, , , 
20440475,11/08/18 17:56,0.3,99.98,0.29, , , 
20440475,11/08/18 18:56,0.21,99.98,0.2, , , 
20440475,11/08/18 19:56,0.21,99.98,0.2, , , 
20440475,11/08/18 20:56,0.17,99.98,0.16, , , 
20440475,11/08/18 21:56,0.21,99.98,0.2, , , 
20440475,11/08/18 22:56,0.17,99.98,0.16, , , 
20440475,11/08/18 23:56,0.25,99.98,0.25, , , 
20440475,12/08/18 00:56,0.21,99.98,0.2, , , 
20440475,12/08/18 01:56,0.17,99.98,0.16, , , 
20440475,12/08/18 02:56,0.17,99.98,0.16, , , 
20440475,12/08/18 03:56,0.21,99.98,0.2, , , 
20440475,12/08/18 04:56,0.25,99.98,0.25, , , 
20440475,12/08/18 05:56,0.34,99.98,0.33, , , 
20440475,12/08/18 06:56,0.25,99.98,0.25, , , 
20440475,12/08/18 07:56,0.08,99.98,0.08, , , 
20440475,12/08/18 08:56,0.13,99.98,0.12, , , 
20440475,12/08/18 09:56,0.13,99.98,0.12, , , 
20440475,12/08/18 10:56,0.21,99.98,0.2, , , 
20440475,12/08/18 11:56,0.3,99.98,0.29, , , 
20440475,12/08/18 12:56,0.38,99.98,0.38, , , 
20440475,12/08/18 13:56,0.43,99.98,0.42, , , 
20440475,12/08/18 14:56,0.47,99.98,0.46, , , 
20440475,12/08/18 15:56,0.43,99.98,0.42, , , 
20440475,12/08/18 16:56,0.43,99.98,0.42, , , 
20440475,12/08/18 17:56,0.43,99.98,0.42, , , 
20440475,12/08/18 18:56,0.43,99.98,0.42, , , 
20440475,12/08/18 19:56,0.43,99.98,0.42, , , 
20440475,12/08/18 20:56,0.43,99.98,0.42, , , 
20440475,12/08/18 21:56,0.43,99.98,0.42, , , 
20440475,12/08/18 22:56,0.38,99.98,0.38, , , 
20440475,12/08/18 23:56,0.38,99.98,0.38, , , 
20440475,13/08/18 00:56,0.38,99.98,0.38, , , 
20440475,13/08/18 01:56,0.38,99.98,0.38, , , 
20440475,13/08/18 02:56,0.34,99.98,0.33, , , 
20440475,13/08/18 03:56,0.34,99.98,0.33, , , 
20440475,13/08/18 04:56,0.43,99.98,0.42, , , 
20440475,13/08/18 05:56,0.38,99.98,0.38, , , 
20440475,13/08/18 06:56,0.38,99.98,0.38, , , 
20440475,13/08/18 07:56,0.43,99.98,0.42, , , 
20440475,13/08/18 08:56,0.47,99.98,0.46, , , 
20440475,13/08/18 09:56,0.43,99.98,0.42, , , 
20440475,13/08/18 10:56,0.43,99.98,0.42, , , 
20440475,13/08/18 11:56,0.43,99.98,0.42, , , 
20440475,13/08/18 12:56,0.43,99.98,0.42, , , 
20440475,13/08/18 13:56,0.43,99.98,0.42, , , 
20440475,13/08/18 14:56,0.38,99.98,0.38, , , 
20440475,13/08/18 15:56,0.43,99.98,0.42, , , 
20440475,13/08/18 16:56,0.43,99.98,0.42, , , 
20440475,13/08/18 17:56,0.47,99.98,0.46, , , 
20440475,13/08/18 18:56,0.38,99.98,0.38, , , 
20440475,13/08/18 19:56,0.38,99.98,0.38, , , 
20440475,13/08/18 20:56,0.43,99.98,0.42, , , 
20440475,13/08/18 21:56,0.38,99.98,0.38, , , 
20440475,13/08/18 22:56,0.3,99.98,0.29, , , 
20440475,13/08/18 23:56,0.34,99.98,0.33, , , 
20440475,14/08/18 00:56,0.38,99.98,0.38, , , 
20440475,14/08/18 01:56,0.38,99.98,0.38, , , 
20440475,14/08/18 02:56,0.43,99.98,0.42, , , 
20440475,14/08/18 03:56,0.47,99.98,0.46, , , 
20440475,14/08/18 04:56,0.25,99.98,0.25, , , 
20440475,14/08/18 05:56,0.21,99.98,0.2, , , 
20440475,14/08/18 06:56,0.25,99.98,0.25, , , 
20440475,14/08/18 07:56,0.3,99.98,0.29, , , 
20440475,14/08/18 08:56,0.34,99.98,0.33, , , 
20440475,14/08/18 09:56,0.34,99.98,0.33, , , 
20440475,14/08/18 10:56,0.3,99.98,0.29, , , 
20440475,14/08/18 11:56,0.38,99.98,0.38, , , 
20440475,14/08/18 12:56,0.38,99.98,0.38, , , 
20440475,14/08/18 13:56,0.34,99.98,0.33, , , 
20440475,14/08/18 14:56,0.38,99.98,0.38, , , 
20440475,14/08/18 15:56,0.34,99.98,0.33, , , 
20440475,14/08/18 16:56,0.34,99.98,0.33, , , 
20440475,14/08/18 17:56,0.3,99.98,0.29, , , 
20440475,14/08/18 18:56,0.25,99.98,0.25, , , 
20440475,14/08/18 19:56,0.34,99.98,0.33, , , 
20440475,14/08/18 20:56,0.25,99.98,0.25, , , 
20440475,14/08/18 21:56,0.21,99.98,0.2, , , 
20440475,14/08/18 22:56,0.34,99.98,0.33, , , 
20440475,14/08/18 23:56,0.34,99.98,0.33, , , 
20440475,15/08/18 00:56,0.21,99.98,0.2, , , 
20440475,15/08/18 01:56,0.21,99.98,0.2, , , 
20440475,15/08/18 02:56,0.17,99.98,0.16, , , 
20440475,15/08/18 03:56,0.17,99.98,0.16, , , 
20440475,15/08/18 04:56,0.17,99.98,0.16, , , 
20440475,15/08/18 05:56,0.21,99.98,0.2, , , 
20440475,15/08/18 06:56,0.17,99.98,0.16, , , 
20440475,15/08/18 07:56,0.21,99.98,0.2, , , 
20440475,15/08/18 08:56,0.17,99.98,0.16, , , 
20440475,15/08/18 09:56,0.17,99.98,0.16, , , 
20440475,15/08/18 10:56,0.21,99.98,0.2, , , 
20440475,15/08/18 11:56,0.21,99.98,0.2, , , 
20440475,15/08/18 12:56,0.43,99.98,0.42, , , 
20440475,15/08/18 13:56,0.38,99.98,0.38, , , 
20440475,15/08/18 14:56,0.34,99.98,0.33, , , 
20440475,15/08/18 15:56,0.43,99.98,0.42, , , 
20440475,15/08/18 16:56,0.38,99.98,0.38, , , 
20440475,15/08/18 17:56,0.3,99.98,0.29, , , 
20440475,15/08/18 18:56,0.25,99.98,0.25, , , 
20440475,15/08/18 19:56,0.25,99.98,0.25, , , 
20440475,15/08/18 20:56,0.21,99.98,0.2, , , 
20440475,15/08/18 21:56,0.21,99.98,0.2, , , 
20440475,15/08/18 22:56,0.13,99.98,0.12, , , 
20440475,15/08/18 23:56,0.17,99.98,0.16, , , 
20440475,16/08/18 00:56,0.13,99.98,0.12, , , 
20440475,16/08/18 01:56,0.21,99.98,0.2, , , 
20440475,16/08/18 02:56,0.17,99.98,0.16, , , 
20440475,16/08/18 03:56,0.21,99.98,0.2, , , 
20440475,16/08/18 04:56,0.17,99.98,0.16, , , 
20440475,16/08/18 05:56,0.17,99.98,0.16, , , 
20440475,16/08/18 06:56,0.21,99.98,0.2, , , 
20440475,16/08/18 07:56,0.21,99.98,0.2, , , 
20440475,16/08/18 08:56,0.21,99.98,0.2, , , 
20440475,16/08/18 09:56,0.21,99.98,0.2, , , 
20440475,16/08/18 10:56,0.17,99.98,0.16, , , 
20440475,16/08/18 11:56,0.34,99.98,0.33, , , 
20440475,16/08/18 12:56,0.38,99.98,0.38, , , 
20440475,16/08/18 13:56,0.38,99.98,0.38, , , 
20440475,16/08/18 14:56,0.43,99.98,0.42, , , 
20440475,16/08/18 15:56,0.38,99.98,0.38, , , 
20440475,16/08/18 16:56,0.43,99.98,0.42, , , 
20440475,16/08/18 17:56,0.43,99.98,0.42, , , 
20440475,16/08/18 18:56,0.38,99.98,0.38, , , 
20440475,16/08/18 19:56,0.34,99.98,0.33, , , 
20440475,16/08/18 20:56,0.21,99.98,0.2, , , 
20440475,16/08/18 21:56,0.17,99.98,0.16, , , 
20440475,16/08/18 22:56,0.17,99.98,0.16, , , 
20440475,16/08/18 23:56,0.13,99.98,0.12, , , 
20440475,17/08/18 00:56,0.17,99.98,0.16, , , 
20440475,17/08/18 01:56,0.17,99.98,0.16, , , 
20440475,17/08/18 02:56,0.25,99.98,0.25, , , 
20440475,17/08/18 03:56,0.21,99.98,0.2, , , 
20440475,17/08/18 04:56,0.38,99.98,0.38, , , 
20440475,17/08/18 05:56,0.43,99.98,0.42, , , 
20440475,17/08/18 06:56,0.43,99.98,0.42, , , 
20440475,17/08/18 07:56,0.43,99.98,0.42, , , 
20440475,17/08/18 08:56,0.38,99.98,0.38, , , 
20440475,17/08/18 09:56,0.38,99.98,0.38, , , 
20440475,17/08/18 10:56,0.43,99.98,0.42, , , 
20440475,17/08/18 11:56,0.38,99.98,0.38, , , 
20440475,17/08/18 12:56,0.47,99.98,0.46, , , 
20440475,17/08/18 13:56,0.51,99.98,0.51, , , 
20440475,17/08/18 14:56,0.51,99.98,0.51, , , 
20440475,17/08/18 15:56,0.51,99.98,0.51, , , 
20440475,17/08/18 16:56,0.47,99.98,0.46, , , 
20440475,17/08/18 17:56,0.47,99.98,0.46, , , 
20440475,17/08/18 18:56,0.51,99.98,0.51, , , 
20440475,17/08/18 19:56,0.51,99.98,0.51, , , 
20440475,17/08/18 20:56,0.51,99.98,0.51, , , 
20440475,17/08/18 21:56,0.43,99.98,0.42, , , 
20440475,17/08/18 22:56,0.34,99.98,0.33, , , 
20440475,17/08/18 23:56,0.47,99.98,0.46, , , 
20440475,18/08/18 00:56,0.47,99.98,0.46, , , 
20440475,18/08/18 01:56,0.38,99.98,0.38, , , 
20440475,18/08/18 02:56,0.43,99.98,0.42, , , 
20440475,18/08/18 03:56,0.34,99.98,0.33, , , 
20440475,18/08/18 04:56,0.38,99.98,0.38, , , 
20440475,18/08/18 05:56,0.38,99.98,0.38, , , 
20440475,18/08/18 06:56,0.43,99.98,0.42, , , 
20440475,18/08/18 07:56,0.43,99.98,0.42, , , 
20440475,18/08/18 08:56,0.3,99.98,0.29, , , 
20440475,18/08/18 09:56,0.25,99.98,0.25, , , 
20440475,18/08/18 10:56,0.21,99.98,0.2, , , 
20440475,18/08/18 11:56,0.34,99.98,0.33, , , 
20440475,18/08/18 12:56,0.47,99.98,0.46, , , 
20440475,18/08/18 13:56,0.43,99.98,0.42, , , 
20440475,18/08/18 14:56,0.47,99.98,0.46, , , 
20440475,18/08/18 15:56,0.47,99.98,0.46, , , 
20440475,18/08/18 16:56,0.47,99.98,0.46, , , 
20440475,18/08/18 17:56,0.43,99.98,0.42, , , 
20440475,18/08/18 18:56,0.47,99.98,0.46, , , 
20440475,18/08/18 19:56,0.47,99.98,0.46, , , 
20440475,18/08/18 20:56,0.38,99.98,0.38, , , 
20440475,18/08/18 21:56,0.25,99.98,0.25, , , 
20440475,18/08/18 22:56,0.43,99.98,0.42, , , 
20440475,18/08/18 23:56,0.38,99.98,0.38, , , 
20440475,19/08/18 00:56,0.34,99.98,0.33, , , 
20440475,19/08/18 01:56,0.34,99.98,0.33, , , 
20440475,19/08/18 02:56,0.25,99.98,0.25, , , 
20440475,19/08/18 03:56,0.25,99.98,0.25, , , 
20440475,19/08/18 04:56,0.25,99.98,0.25, , , 
20440475,19/08/18 05:56,0.3,99.98,0.29, , , 
20440475,19/08/18 06:56,0.17,99.98,0.16, , , 
20440475,19/08/18 07:56,0.17,99.98,0.16, , , 
20440475,19/08/18 08:56,0.21,99.98,0.2, , , 
20440475,19/08/18 09:56,0.25,99.98,0.25, , , 
20440475,19/08/18 10:56,0.25,99.98,0.25, , , 
20440475,19/08/18 11:56,0.38,99.98,0.38, , , 
20440475,19/08/18 12:56,0.43,99.98,0.42, , , 
20440475,19/08/18 13:56,0.55,99.98,0.55, , , 
20440475,19/08/18 14:56,0.55,99.98,0.55, , , 
20440475,19/08/18 15:56,0.51,99.98,0.51, , , 
20440475,19/08/18 16:56,0.34,99.98,0.33, , , 
20440475,19/08/18 17:56,0.34,99.98,0.33, , , 
20440475,19/08/18 18:56,0.3,99.98,0.29, , , 
20440475,19/08/18 19:56,0.34,99.98,0.33, , , 
20440475,19/08/18 20:56,0.34,99.98,0.33, , , 
20440475,19/08/18 21:56,0.38,99.98,0.38, , , 
20440475,19/08/18 22:56,0.38,99.98,0.38, , , 
20440475,19/08/18 23:56,0.34,99.98,0.33, , , 
20440475,20/08/18 00:56,0.34,99.98,0.33, , , 
20440475,20/08/18 01:56,0.34,99.98,0.33, , , 
20440475,20/08/18 02:56,0.3,99.98,0.29, , , 
20440475,20/08/18 03:56,0.3,99.98,0.29, , , 
20440475,20/08/18 04:56,0.3,99.98,0.29, , , 
20440475,20/08/18 05:56,0.25,99.98,0.25, , , 
20440475,20/08/18 06:56,0.25,99.98,0.25, , , 
20440475,20/08/18 07:56,0.34,99.98,0.33, , , 
20440475,20/08/18 08:56,0.43,99.98,0.42, , , 
20440475,20/08/18 09:56,0.34,99.98,0.33, , , 
20440475,20/08/18 10:56,0.38,99.98,0.38, , , 
20440475,20/08/18 11:56,0.38,99.98,0.38, , , 
20440475,20/08/18 12:56,0.51,99.98,0.51, , , 
20440475,20/08/18 13:56,0.51,99.98,0.51, , , 
20440475,20/08/18 14:56,0.6,99.98,0.59, , , 
20440475,20/08/18 15:56,0.55,99.98,0.55, , , 
20440475,20/08/18 16:56,0.6,99.98,0.59, , , 
20440475,20/08/18 17:56,0.51,99.98,0.51, , , 
20440475,20/08/18 18:56,0.51,99.98,0.51, , , 
20440475,20/08/18 19:56,0.38,99.98,0.38, , , 
20440475,20/08/18 20:56,0.51,99.98,0.51, , , 
20440475,20/08/18 21:56,0.47,99.98,0.46, , , 
20440475,20/08/18 22:56,0.47,99.98,0.46, , , 
20440475,20/08/18 23:56,0.38,99.98,0.38, , , 
20440475,21/08/18 00:56,0.34,99.98,0.33, , , 
20440475,21/08/18 01:56,0.43,99.98,0.42, , , 
20440475,21/08/18 02:56,0.34,99.98,0.33, , , 
20440475,21/08/18 03:56,0.43,99.98,0.42, , , 
20440475,21/08/18 04:56,0.38,99.98,0.38, , , 
20440475,21/08/18 05:56,0.3,99.98,0.29, , , 
20440475,21/08/18 06:56,0.34,99.98,0.33, , , 
20440475,21/08/18 07:56,0.3,99.98,0.29, , , 
20440475,21/08/18 08:56,0.3,99.98,0.29, , , 
20440475,21/08/18 09:56,0.3,99.98,0.29, , , 
20440475,21/08/18 10:56,0.34,99.98,0.33, , , 
20440475,21/08/18 11:56,0.47,99.98,0.46, , , 
20440475,21/08/18 12:56,0.55,99.98,0.55, , , 
20440475,21/08/18 13:56,0.6,99.98,0.59, , , 
20440475,21/08/18 14:56,0.51,99.98,0.51, , , 
20440475,21/08/18 15:56,0.55,99.98,0.55, , , 
20440475,21/08/18 16:56,0.55,99.98,0.55, , , 
20440475,21/08/18 17:56,0.6,99.98,0.59, , , 
20440475,21/08/18 18:56,0.55,99.98,0.55, , , 
20440475,21/08/18 19:56,0.51,99.98,0.51, , , 
20440475,21/08/18 20:56,0.55,99.98,0.55, , , 
20440475,21/08/18 21:56,0.47,99.98,0.46, , , 
20440475,21/08/18 22:56,0.47,99.98,0.46, , , 
20440475,21/08/18 23:56,0.43,99.98,0.42, , , 
20440475,22/08/18 00:56,0.34,99.98,0.33, , , 
20440475,22/08/18 01:56,0.34,99.98,0.33, , , 
20440475,22/08/18 02:56,0.3,99.98,0.29, , , 
20440475,22/08/18 03:56,0.34,99.98,0.33, , , 
20440475,22/08/18 04:56,0.25,99.98,0.25, , , 
20440475,22/08/18 05:56,0.3,99.98,0.29, , , 
20440475,22/08/18 06:56,0.25,99.98,0.25, , , 
20440475,22/08/18 07:56,0.25,99.98,0.25, , , 
20440475,22/08/18 08:56,0.34,99.98,0.33, , , 
20440475,22/08/18 09:56,0.34,99.98,0.33, , , 
20440475,22/08/18 10:56,0.43,99.98,0.42, , , 
20440475,22/08/18 11:56,0.43,99.98,0.42, , , 
20440475,22/08/18 12:56,0.51,99.98,0.51, , , 
20440475,22/08/18 13:56,0.51,99.98,0.51, , , 
20440475,22/08/18 14:56,0.51,99.98,0.51, , , 
20440475,22/08/18 15:56,0.55,99.98,0.55, , , 
20440475,22/08/18 16:56,0.6,99.98,0.59, , , 
20440475,22/08/18 17:56,0.6,99.98,0.59, , , 
20440475,22/08/18 18:56,0.6,99.98,0.59, , , 
20440475,22/08/18 19:56,0.55,99.98,0.55, , , 
20440475,22/08/18 20:56,0.55,99.98,0.55, , , 
20440475,22/08/18 21:56,0.47,99.98,0.46, , , 
20440475,22/08/18 22:56,0.43,99.98,0.42, , , 
20440475,22/08/18 23:56,0.38,99.98,0.38, , , 
20440475,23/08/18 00:56,0.43,99.98,0.42, , , 
20440475,23/08/18 01:56,0.47,99.98,0.46, , , 
20440475,23/08/18 02:56,0.47,99.98,0.46, , , 
20440475,23/08/18 03:56,0.51,99.98,0.51, , , 
20440475,23/08/18 04:56,0.34,99.98,0.33, , , 
20440475,23/08/18 05:56,0.47,99.98,0.46, , , 
20440475,23/08/18 06:56,0.47,99.98,0.46, , , 
20440475,23/08/18 07:56,0.43,99.98,0.42, , , 
20440475,23/08/18 08:56,0.34,99.98,0.33, , , 
20440475,23/08/18 09:56,0.43,99.98,0.42, , , 
20440475,23/08/18 10:56,0.47,99.98,0.46, , , 
20440475,23/08/18 11:56,0.55,99.98,0.55, , , 
20440475,23/08/18 12:56,0.51,99.98,0.51, , , 
20440475,23/08/18 13:56,0.47,99.98,0.46, , , 
20440475,23/08/18 14:56,0.51,99.98,0.51, , , 
20440475,23/08/18 15:56,0.6,99.98,0.59, , , 
20440475,23/08/18 16:56,0.51,99.98,0.51, , , 
20440475,23/08/18 17:56,0.55,99.98,0.55, , , 
20440475,23/08/18 18:56,0.47,99.98,0.46, , , 
20440475,23/08/18 19:56,0.47,99.98,0.46, , , 
20440475,23/08/18 20:56,0.47,99.98,0.46, , , 
20440475,23/08/18 21:56,0.43,99.98,0.42, , , 
20440475,23/08/18 22:56,0.43,99.98,0.42, , , 
20440475,23/08/18 23:56,0.38,99.98,0.38, , , 
20440475,24/08/18 00:56,0.38,99.98,0.38, , , 
20440475,24/08/18 01:56,0.34,99.98,0.33, , , 
20440475,24/08/18 02:56,0.43,99.98,0.42, , , 
20440475,24/08/18 03:56,0.43,99.98,0.42, , , 
20440475,24/08/18 04:56,0.38,99.98,0.38, , , 
20440475,24/08/18 05:56,0.38,99.98,0.38, , , 
20440475,24/08/18 06:56,0.38,99.98,0.38, , , 
20440475,24/08/18 07:56,0.47,99.98,0.46, , , 
20440475,24/08/18 08:56,0.47,99.98,0.46, , , 
20440475,24/08/18 09:56,0.47,99.98,0.46, , , 
20440475,24/08/18 10:56,0.47,99.98,0.46, , , 
20440475,24/08/18 11:56,0.43,99.98,0.42, , , 
20440475,24/08/18 12:56,0.47,99.98,0.46, , , 
20440475,24/08/18 13:56,0.43,99.98,0.42, , , 
20440475,24/08/18 14:56,0.47,99.98,0.46, , , 
20440475,24/08/18 15:56,0.43,99.98,0.42, , , 
20440475,24/08/18 16:56,0.43,99.98,0.42, , , 
20440475,24/08/18 17:56,0.38,99.98,0.38, , , 
20440475,24/08/18 18:56,0.43,99.98,0.42, , , 
20440475,24/08/18 19:56,0.3,99.98,0.29, , , 
20440475,24/08/18 20:56,0.38,99.98,0.38, , , 
20440475,24/08/18 21:56,0.43,99.98,0.42, , , 
20440475,24/08/18 22:56,0.43,99.98,0.42, , , 
20440475,24/08/18 23:56,0.38,99.98,0.38, , , 
20440475,25/08/18 00:56,0.38,99.98,0.38, , , 
20440475,25/08/18 01:56,0.34,99.98,0.33, , , 
20440475,25/08/18 02:56,0.43,99.98,0.42, , , 
20440475,25/08/18 03:56,0.43,99.98,0.42, , , 
20440475,25/08/18 04:56,0.43,99.98,0.42, , , 
20440475,25/08/18 05:56,0.43,99.98,0.42, , , 
20440475,25/08/18 06:56,0.38,99.98,0.38, , , 
20440475,25/08/18 07:56,0.43,99.98,0.42, , , 
20440475,25/08/18 08:56,0.38,99.98,0.38, , , 
20440475,25/08/18 09:56,0.38,99.98,0.38, , , 
20440475,25/08/18 10:56,0.3,99.98,0.29, , , 
20440475,25/08/18 11:56,0.25,99.98,0.25, , , 
20440475,25/08/18 12:56,0.34,99.98,0.33, , , 
20440475,25/08/18 13:56,0.34,99.98,0.33, , , 
20440475,25/08/18 14:56,0.34,99.98,0.33, , , 
20440475,25/08/18 15:56,0.34,99.98,0.33, , , 
20440475,25/08/18 16:56,0.38,99.98,0.38, , , 
20440475,25/08/18 17:56,0.38,99.98,0.38, , , 
20440475,25/08/18 18:56,0.34,99.98,0.33, , , 
20440475,25/08/18 19:56,0.3,99.98,0.29, , , 
20440475,25/08/18 20:56,0.3,99.98,0.29, , , 
20440475,25/08/18 21:56,0.34,99.98,0.33, , , 
20440475,25/08/18 22:56,0.34,99.98,0.33, , , 
20440475,25/08/18 23:56,0.34,99.98,0.33, , , 
20440475,26/08/18 00:56,0.3,99.98,0.29, , , 
20440475,26/08/18 01:56,0.34,99.98,0.33, , , 
20440475,26/08/18 02:56,0.38,99.98,0.38, , , 
20440475,26/08/18 03:56,0.38,99.98,0.38, , , 
20440475,26/08/18 04:56,0.3,99.98,0.29, , , 
20440475,26/08/18 05:56,0.3,99.98,0.29, , , 
20440475,26/08/18 06:56,0.21,99.98,0.2, , , 
20440475,26/08/18 07:56,0.25,99.98,0.25, , , 
20440475,26/08/18 08:56,0.25,99.98,0.25, , , 
20440475,26/08/18 09:56,0.25,99.98,0.25, , , 
20440475,26/08/18 10:56,0.25,99.98,0.25, , , 
20440475,26/08/18 11:56,0.25,99.98,0.25, , , 
20440475,26/08/18 12:56,0.3,99.98,0.29, , , 
20440475,26/08/18 13:56,0.3,99.98,0.29, , , 
20440475,26/08/18 14:56,0.25,99.98,0.25, , , 
20440475,26/08/18 15:56,0.25,99.98,0.25, , , 
20440475,26/08/18 16:56,0.21,99.98,0.2, , , 
20440475,26/08/18 17:56,0.21,99.98,0.2, , , 
20440475,26/08/18 18:56,0.21,99.98,0.2, , , 
20440475,26/08/18 19:56,0.17,99.98,0.16, , , 
20440475,26/08/18 20:56,0.21,99.98,0.2, , , 
20440475,26/08/18 21:56,0.17,99.98,0.16, , , 
20440475,26/08/18 22:56,0.21,99.98,0.2, , , 
20440475,26/08/18 23:56,0.13,99.98,0.12, , , 
20440475,27/08/18 00:56,0.17,99.98,0.16, , , 
20440475,27/08/18 01:56,0.17,99.98,0.16, , , 
20440475,27/08/18 02:56,0.13,99.98,0.12, , , 
20440475,27/08/18 03:56,0.17,99.98,0.16, , , 
20440475,27/08/18 04:56,0.25,99.98,0.25, , , 
20440475,27/08/18 05:56,0.17,99.98,0.16, , , 
20440475,27/08/18 06:56,0.21,99.98,0.2, , , 
20440475,27/08/18 07:56,0.21,99.98,0.2, , , 
20440475,27/08/18 08:56,0.21,99.98,0.2, , , 
20440475,27/08/18 09:56,0.21,99.98,0.2, , , 
20440475,27/08/18 10:56,0.17,99.98,0.16, , , 
20440475,27/08/18 11:56,0.21,99.98,0.2, , , 
20440475,27/08/18 12:56,0.25,99.98,0.25, , , 
20440475,27/08/18 13:56,0.17,99.98,0.16, , , 
20440475,27/08/18 14:56,0.34,99.98,0.33, , , 
20440475,27/08/18 15:56,0.38,99.98,0.38, , , 
20440475,27/08/18 16:56,0.51,99.98,0.51, , , 
